Date/Time,V10,D10,V70,D70,V80,D80
2019-01-15_18:00:00,12.341,63.4,14.212,303.5,14.663,54.3
2019-01-15_19:00:00,11.672,63.5,14.012,302.2,14.410,53.0
2019-01-15_20:00:00,11.069,59.5,12.927,299.6,13.261,50.2
2019-01-15_21:00:00,10.561,65.0,12.444,303.0,12.753,53.8
2019-01-15_22:00:00,10.498,63.1,12.193,302.2,12.372,52.8
2019-01-15_23:00:00,11.101,63.4,12.937,301.6,13.270,52.1
2019-01-16_00:00:00,11.161,60.8,12.938,300.9,13.222,51.7
2019-01-16_01:00:00,11.960,63.2,14.028,301.7,14.386,52.4
2019-01-16_02:00:00,12.211,62.3,13.325,301.3,13.535,51.7
2019-01-16_03:00:00,12.114,61.2,14.251,300.5,14.593,51.1
2019-01-16_04:00:00,11.186,64.1,12.994,302.3,13.217,53.1
2019-01-16_05:00:00,11.017,61.2,13.152,300.2,13.471,51.0
2019-01-16_06:00:00,10.271,60.5,11.916,299.8,12.222,50.4
2019-01-16_07:00:00,11.072,58.4,12.677,299.2,12.981,49.6
2019-01-16_08:00:00,11.236,56.0,12.943,292.9,13.288,42.5
2019-01-16_09:00:00,11.985,56.9,13.877,296.8,14.255,46.7
2019-01-16_10:00:00,10.987,57.7,12.868,296.8,13.164,46.8
2019-01-16_11:00:00,11.891,57.4,14.135,297.0,14.495,47.0
2019-01-16_12:00:00,10.173,56.8,12.026,298.0,12.340,48.4
2019-01-16_13:00:00,8.137,61.9,9.646,301.1,9.878,51.9
2019-01-16_14:00:00,9.559,58.7,11.596,298.6,11.984,48.8
